acc,geo_loc_name_country_calc,geo_loc_name_country_continent_calc,platform,instrument,bioproject,avgspotlen,mbases,collection_date_sam,abstract,category
SRR15343534,Democratic Republic of the Congo,Africa,ILLUMINA,NextSeq 500,PRJNA752006,296.0,1462.0,2018-03-01,"{'DocumentSummarySet': DictElement({'DocumentSummary': [DictElement({'TaxId': '0', 'Project_Id': '752006', 'Project_Acc': 'PRJNA752006', 'Project_Type': 'Primary submission', 'Project_Data_Type': 'Raw sequence reads', 'Sort_By_ProjectType': '274771', 'Sort_By_DataType': '257878', 'Sort_By_Organism': '705057', 'Project_Subtype': '', 'Project_Target_Scope': 'Multispecies', 'Project_Target_Material': 'Genome', 'Project_Target_Capture': 'Whole', 'Project_MethodType': 'Sequencing', 'Project_Method': '', 'Project_Objectives_List': [{'Project_ObjectivesType': 'Raw Sequence Reads', 'Project_Objectives': ''}], 'Registration_Date': '2021/08/04 00:00', 'Project_Name': '', 'Project_Title': 'Shotgun Metagenomic Sequencing to Examine the Gut Microbiome in Konzo', 'Project_Description': 'Shotgun metagenomic sequencing was performed on DNA isolated from feces collected from 180 individuals (children) in the Democratic Republic of Congo (DRC). The samples are collected from three regions in the DRC, Kinshasa, Masi-Manimba, and Kahemba, and from individuals both affected and unaffected with konzo, a distinct upper motor neuron disease prevalent in sub-Saharan Africa.', 'Keyword': '', 'Relevance_Agricultural': '', 'Relevance_Medical': 'yes', 'Relevance_Industrial': '', 'Relevance_Environmental': '', 'Relevance_Evolution': '', 'Relevance_Model': '', 'Relevance_Other': '', 'Organism_Name': '', 'Organism_Strain': '', 'Organism_Label': '', 'Sequencing_Status': 'SRA/Trace', 'Submitter_Organization': ""Children's National Hospital"", 'Submitter_Organization_List': [""Children's National Hospital""], 'Supergroup': ''}, attributes={'uid': '752006'})], 'DbBuild': 'Build240919-1455.1'}, attributes={'status': 'OK'})}",Other
SRR10499400,Serbia,Europe,ILLUMINA,Illumina HiSeq 2000,PRJNA589866,202.0,5988.0,,"{'DocumentSummarySet': DictElement({'DocumentSummary': [DictElement({'TaxId': '408170', 'Project_Id': '589866', 'Project_Acc': 'PRJNA589866', 'Project_Type': 'Primary submission', 'Project_Data_Type': 'Metagenome', 'Sort_By_ProjectType': '406800', 'Sort_By_DataType': '394249', 'Sort_By_Organism': '269948', 'Project_Subtype': '', 'Project_Target_Scope': 'Other', 'Project_Target_Material': 'Genome', 'Project_Target_Capture': 'Whole', 'Project_MethodType': 'Sequencing', 'Project_Method': '', 'Project_Objectives_List': [{'Project_ObjectivesType': 'Sequence', 'Project_Objectives': ''}], 'Registration_Date': '2019/11/15 00:00', 'Project_Name': 'human gut metagenome', 'Project_Title': 'human gut metagenome Metagenome', 'Project_Description': 'When β-lactam antibiotics are administered intravenously (IV), a significant portion can be excreted through the bile into the intestine and disrupt the gut microbiome. This can lead to increased susceptibility to certain types of infection, as well as contribute to increase risk of antimicrobial resistance. When given with IV β-lactam antibiotics, Ribaximase degrades excess antibiotics excreted into the upper GI tract before they can disrupt the gut microbiome and alter the resistome.During a Phase 2b clinical study, Ribaxamase treatment led to significant reduction in Clostridium difficile infection in patients receiving ceftriaxone. Longitudinal fecal samples (349) were collected from the patients, and the metagenomic content of these samples was sequenced.The results of this study found a significant increase in β-lactamase (CfxA) and vancomycin resistance genes (vanD) in placebo-treated vs. ribaxamase-treated patients. We also identified significant correlations between changes in the gut resistome and clinical study parameters including β-lactamase gene frequency and study drug assignment, and efflux pump gene frequency and vancomycin resistance. Taken together, these findings demonstrated that coadministration of ribaxamase with IV β-lactam antibiotics can protect the integrity of the gut resistome and may help limit the emergence of AMR induced by these antibiotics.', 'Keyword': '', 'Relevance_Agricultural': '', 'Relevance_Medical': 'yes', 'Relevance_Industrial': '', 'Relevance_Environmental': '', 'Relevance_Evolution': '', 'Relevance_Model': '', 'Relevance_Other': '', 'Organism_Name': 'human gut metagenome', 'Organism_Strain': '', 'Organism_Label': '', 'Sequencing_Status': 'SRA/Trace', 'Submitter_Organization': 'Diversigen', 'Submitter_Organization_List': ['Diversigen'], 'Supergroup': 'Other'}, attributes={'uid': '589866'})], 'DbBuild': 'Build240919-1455.1'}, attributes={'status': 'OK'})}",Infection
SRR13979597,Israel,Asia,ILLUMINA,NextSeq 500,PRJNA714678,302.0,1375.0,2018-11-18,"{'DocumentSummarySet': DictElement({'DocumentSummary': [DictElement({'TaxId': '0', 'Project_Id': '714678', 'Project_Acc': 'PRJNA714678', 'Project_Type': 'Primary submission', 'Project_Data_Type': 'Raw sequence reads', 'Sort_By_ProjectType': '302554', 'Sort_By_DataType': '286725', 'Sort_By_Organism': '717041', 'Project_Subtype': '', 'Project_Target_Scope': 'Multispecies', 'Project_Target_Material': 'Genome', 'Project_Target_Capture': 'Whole', 'Project_MethodType': 'Sequencing', 'Project_Method': '', 'Project_Objectives_List': [{'Project_ObjectivesType': 'Raw Sequence Reads', 'Project_Objectives': ''}], 'Registration_Date': '2021/03/15 00:00', 'Project_Name': '', 'Project_Title': 'Metagenomic analysis reveals the signature of gut microbiota associated with human chronotypes', 'Project_Description': 'Patterns of diurnal activity differ substantially between individuals, with early risers and late sleepers being extreme examples of circadian phase referred to as chronotypes. Growing evidence suggests that the late chronotype significantly impacts the risk of developing mood disorders, obesity, diabetes, and other chronic diseases. Despite the vast potential of utilizing chronotype information for precision medicine, the factors that shape chronotypes remain poorly understood. Here, we determined whether chronotypes are associated with different gut microbiome composition.', 'Keyword': '', 'Relevance_Agricultural': '', 'Relevance_Medical': 'yes', 'Relevance_Industrial': '', 'Relevance_Environmental': '', 'Relevance_Evolution': '', 'Relevance_Model': '', 'Relevance_Other': '', 'Organism_Name': '', 'Organism_Strain': '', 'Organism_Label': '', 'Sequencing_Status': 'SRA/Trace', 'Submitter_Organization': 'Technion - Israel Institute of Technology', 'Submitter_Organization_List': ['Technion - Israel Institute of Technology'], 'Supergroup': ''}, attributes={'uid': '714678'})], 'DbBuild': 'Build240919-1455.1'}, attributes={'status': 'OK'})}",Other
ERR3053458,Norway,Europe,ILLUMINA,Illumina MiSeq,PRJEB29052,556.0,793.0,,"{'DocumentSummarySet': DictElement({'DocumentSummary': [DictElement({'TaxId': '0', 'Project_Id': '514642', 'Project_Acc': 'PRJEB29052', 'Project_Type': 'Primary submission', 'Project_Data_Type': 'Other', 'Sort_By_ProjectType': '473046', 'Sort_By_DataType': '461954', 'Sort_By_Organism': '770158', 'Project_Subtype': '', 'Project_Target_Scope': 'Monoisolate', 'Project_Target_Material': 'Genome', 'Project_Target_Capture': 'Whole', 'Project_MethodType': 'Sequencing', 'Project_Method': '', 'Project_Objectives_List': [{'Project_ObjectivesType': 'Other', 'Project_Objectives': 'Unspecified Objective'}], 'Registration_Date': '2019/01/11 00:00', 'Project_Name': 'PINGU', 'Project_Title': 'The effect of probiotic supplementation on the gut microbiota and antibiotic resistome development in preterm infants', 'Project_Description': 'Probiotic supplementation was introduced as standard of care to prevent necrotizing enterocolitis (NEC) in extremely preterm infants in Norway. We aimed to evaluate the influence of probiotics and antibiotic therapy on the developing gut microbiota and antibiotic resistome in extremely preterm infants, and to compare with very preterm infants and term infants not given probiotics. Random shotgun metagenomic analysis was performed on the DNA isolated from the fecal samples. Our findings shows that probiotic supplementation may induce colonization resistance and alleviate harmful effects of antibiotics on the gut microbiota and antibiotic resistome', 'Keyword': '', 'Relevance_Agricultural': '', 'Relevance_Medical': '', 'Relevance_Industrial': '', 'Relevance_Environmental': '', 'Relevance_Evolution': '', 'Relevance_Model': '', 'Relevance_Other': '', 'Organism_Name': '', 'Organism_Strain': '', 'Organism_Label': '', 'Sequencing_Status': 'SRA/Trace', 'Submitter_Organization': 'University of Tromso', 'Submitter_Organization_List': ['University of Tromso'], 'Supergroup': ''}, attributes={'uid': '514642'})], 'DbBuild': 'Build240919-1455.1'}, attributes={'status': 'OK'})}",Infant Study
ERR7821276,Israel,Asia,ILLUMINA,NextSeq 550,PRJEB49147,285.0,3907.0,,"{'DocumentSummarySet': DictElement({'DocumentSummary': [DictElement({'TaxId': '0', 'Project_Id': '794678', 'Project_Acc': 'PRJEB49147', 'Project_Type': 'Primary submission', 'Project_Data_Type': 'Other', 'Sort_By_ProjectType': '243199', 'Sort_By_DataType': '224988', 'Sort_By_Organism': '691411', 'Project_Subtype': '', 'Project_Target_Scope': 'Monoisolate', 'Project_Target_Material': 'Genome', 'Project_Target_Capture': 'Whole', 'Project_MethodType': 'Sequencing', 'Project_Method': '', 'Project_Objectives_List': [{'Project_ObjectivesType': 'Other', 'Project_Objectives': 'Unspecified Objective'}], 'Registration_Date': '2022/01/05 00:00', 'Project_Name': 'DIRECT PLUS Shotgun Metagenomics data', 'Project_Title': 'DIRECT PLUS 6-month Shotgun Metagenomics data', 'Project_Description': 'The effects of Green-Mediterranean diet on cardiometabolic health are linked to gut microbiome modifications; a randomized controlled trial', 'Keyword': '', 'Relevance_Agricultural': '', 'Relevance_Medical': '', 'Relevance_Industrial': '', 'Relevance_Environmental': '', 'Relevance_Evolution': '', 'Relevance_Model': '', 'Relevance_Other': '', 'Organism_Name': '', 'Organism_Strain': '', 'Organism_Label': '', 'Sequencing_Status': 'SRA/Trace', 'Submitter_Organization': 'ben gurion university of the negev', 'Submitter_Organization_List': ['ben gurion university of the negev'], 'Supergroup': ''}, attributes={'uid': '794678'})], 'DbBuild': 'Build240919-1455.1'}, attributes={'status': 'OK'})}",Other
ERR1729151,Kazakhstan,Asia,ILLUMINA,Illumina HiSeq 2000,PRJEB17632,74.0,80.0,2015-04-14,"{'DocumentSummarySet': DictElement({'DocumentSummary': [DictElement({'TaxId': '0', 'Project_Id': '420824', 'Project_Acc': 'PRJEB17632', 'Project_Type': 'Primary submission', 'Project_Data_Type': 'Other', 'Sort_By_ProjectType': '556878', 'Sort_By_DataType': '547573', 'Sort_By_Organism': '788257', 'Project_Subtype': '', 'Project_Target_Scope': 'Monoisolate', 'Project_Target_Material': 'Genome', 'Project_Target_Capture': 'Whole', 'Project_MethodType': 'Sequencing', 'Project_Method': '', 'Project_Objectives_List': [{'Project_ObjectivesType': 'Other', 'Project_Objectives': 'Unspecified Objective'}], 'Registration_Date': '2017/12/02 00:00', 'Project_Name': 'Global subspecies distribution', 'Project_Title': 'Subspecies in the global human gut microbiome', 'Project_Description': 'While population stratification has been extensively studied and quantified in sexually reproducing species, it has been only anecdotally described in others. Here, we conducted a large-scale survey of population stratification in prokaryotic species, sampled from their natural habitat, without isolation or cultivation biases. We surveyed the variation landscape of 71 prevalent microbial species in 2144 human fecal metagenomes, and show that in 44 of these, accounting for 72% of the total assigned microbial abundance, single nucleotide variation can be clustered and stratified into sub-populations (termed subspecies). Individuals are usually dominated by only one such subspecies (per species), as expected of closely related organisms from ecological theory. Geographical dispersal patterns differ between phyla, with Firmicutes subspecies being significantly more geographically restricted. To demonstrate the functional significance of the delineated subspecies, we performed a metagenomic analysis, independent of reference genomes, of the gene content that consistently differs between conspecific subspecies, allowing us to associate groups of genes to properties of the microbial community and to the host. For example, some Eubacterium rectale subspecies specifically harbor an accessory pro-inflammatory flagellum operon that is associated with lower gut community diversity, higher host BMI and higher blood fasting insulin levels. Taken together, subspecies are a natural taxonomic level in prokaryotes and facilitate the functional and ecological understanding of the human gut microbiome in conjunction with its host.', 'Keyword': '', 'Relevance_Agricultural': '', 'Relevance_Medical': '', 'Relevance_Industrial': '', 'Relevance_Environmental': '', 'Relevance_Evolution': '', 'Relevance_Model': '', 'Relevance_Other': '', 'Organism_Name': '', 'Organism_Strain': '', 'Organism_Label': '', 'Sequencing_Status': 'SRA/Trace', 'Submitter_Organization': 'European Molecular Biology Laboratory', 'Submitter_Organization_List': ['European Molecular Biology Laboratory'], 'Supergroup': ''}, attributes={'uid': '420824'})], 'DbBuild': 'Build240919-1455.1'}, attributes={'status': 'OK'})}",Other
ERR7616623,Austria,Europe,ILLUMINA,Illumina NovaSeq 6000,PRJEB49215,294.0,58.0,2019-05-01,"{'DocumentSummarySet': DictElement({'DocumentSummary': [DictElement({'TaxId': '0', 'Project_Id': '794682', 'Project_Acc': 'PRJEB49215', 'Project_Type': 'Primary submission', 'Project_Data_Type': 'Other', 'Sort_By_ProjectType': '243195', 'Sort_By_DataType': '224984', 'Sort_By_Organism': '691407', 'Project_Subtype': '', 'Project_Target_Scope': 'Monoisolate', 'Project_Target_Material': 'Genome', 'Project_Target_Capture': 'Whole', 'Project_MethodType': 'Sequencing', 'Project_Method': '', 'Project_Objectives_List': [{'Project_ObjectivesType': 'Other', 'Project_Objectives': 'Unspecified Objective'}], 'Registration_Date': '2022/01/05 00:00', 'Project_Name': 'Microbiome in acute appendicitis', 'Project_Title': 'Acute appendicitis manifests in two microbiome state types, with oral pathogens driving severity', 'Project_Description': 'Mounting evidence suggests that acute appendicitis (AA) is not one but two diseases, with complicated appendectomy that reaches perforation eventually if untreated and uncomplicated appendectomy which does not. Even though AA is the most frequent cause of surgery from abdominal pain, little is known about the origins and etiopathogenesis of this disease, much less regarding the different disease types.  Here, we investigated the microbiome of appendix, stool and peritoneum samples from 60 children and adolescents with AA to assess the composition and potential function of bacteria, archaea and fungi. The microbial community of the appendix revealed a severity-specific shift. This shift was reflected by two major community state types that represented complicated and uncomplicated cases. We demonstrated that complicated, but not uncomplicated, appendicitis is associated with a significant local expansion of oral bacterial pathogens in the appendix, driven by necrotizing Fusobacterium spp., Porphyromonas and Parvimonas. On the contrary, uncomplicated appendicitis was characterized by gut-associated microbiomes. Our findings support the notion of two disease types in AA, which can currently not be distinguished using standard clinical characterizations, nor the analysis of the patient’s stool microbiome. An improved diagnostics could, however, improve non-surgical treatment of uncomplicated AA.', 'Keyword': '', 'Relevance_Agricultural': '', 'Relevance_Medical': '', 'Relevance_Industrial': '', 'Relevance_Environmental': '', 'Relevance_Evolution': '', 'Relevance_Model': '', 'Relevance_Other': '', 'Organism_Name': '', 'Organism_Strain': '', 'Organism_Label': '', 'Sequencing_Status': 'SRA/Trace', 'Submitter_Organization': 'MEDICAL UNIVERSITY GRAZ', 'Submitter_Organization_List': ['MEDICAL UNIVERSITY GRAZ'], 'Supergroup': ''}, attributes={'uid': '794682'})], 'DbBuild': 'Build240919-1455.1'}, attributes={'status': 'OK'})}",Infection
SRR18191164,Hungary,Europe,ILLUMINA,Illumina HiSeq 2500,PRJNA811494,292.0,5764.0,2019-01-22,"{'DocumentSummarySet': DictElement({'DocumentSummary': [DictElement({'TaxId': '0', 'Project_Id': '811494', 'Project_Acc': 'PRJNA811494', 'Project_Type': 'Primary submission', 'Project_Data_Type': 'Raw sequence reads', 'Sort_By_ProjectType': '231236', 'Sort_By_DataType': '212521', 'Sort_By_Organism': '686455', 'Project_Subtype': '', 'Project_Target_Scope': 'Multispecies', 'Project_Target_Material': 'Genome', 'Project_Target_Capture': 'Whole', 'Project_MethodType': 'Sequencing', 'Project_Method': '', 'Project_Objectives_List': [{'Project_ObjectivesType': 'Raw Sequence Reads', 'Project_Objectives': ''}], 'Registration_Date': '2022/03/01 00:00', 'Project_Name': '', 'Project_Title': 'ITS2 and whole metagenomics from stool of human lung cancer patients from hungary', 'Project_Description': 'Investigating Bacteriome and Mycobiome interactions, and their contribution to lung cancer treatment. For treatment, anti-cancer combination therapy was used.', 'Keyword': '', 'Relevance_Agricultural': '', 'Relevance_Medical': 'yes', 'Relevance_Industrial': '', 'Relevance_Environmental': '', 'Relevance_Evolution': '', 'Relevance_Model': '', 'Relevance_Other': '', 'Organism_Name': '', 'Organism_Strain': '', 'Organism_Label': '', 'Sequencing_Status': 'SRA/Trace', 'Submitter_Organization': 'Leibniz Institute for Natural Product Research and Infection Biology - Hans Knoell Institute (HKI)', 'Submitter_Organization_List': ['Leibniz Institute for Natural Product Research and Infection Biology - Hans Knoell Institute (HKI)'], 'Supergroup': ''}, attributes={'uid': '811494'})], 'DbBuild': 'Build240919-1455.1'}, attributes={'status': 'OK'})}",Cancer
SRR9108970,India,Asia,ILLUMINA,Illumina HiSeq 1000,PRJNA531203,290.0,9350.0,2013-10-27,"{'DocumentSummarySet': DictElement({'DocumentSummary': [DictElement({'TaxId': '408170', 'Project_Id': '531203', 'Project_Acc': 'PRJNA531203', 'Project_Type': 'Primary submission', 'Project_Data_Type': 'Metagenome', 'Sort_By_ProjectType': '458411', 'Sort_By_DataType': '446929', 'Sort_By_Organism': '270018', 'Project_Subtype': '', 'Project_Target_Scope': 'Environment', 'Project_Target_Material': 'Genome', 'Project_Target_Capture': 'Whole', 'Project_MethodType': 'Sequencing', 'Project_Method': '', 'Project_Objectives_List': [{'Project_ObjectivesType': 'Sequence', 'Project_Objectives': ''}], 'Registration_Date': '2019/04/05 00:00', 'Project_Name': 'Human gut metagenome', 'Project_Title': 'Human gut metagenome Metagenome', 'Project_Description': 'The aim of the study is to find, compare, and understand the gut metagenomic composition of the healthy individuals from the different regions of India.', 'Keyword': '', 'Relevance_Agricultural': '', 'Relevance_Medical': '', 'Relevance_Industrial': '', 'Relevance_Environmental': '', 'Relevance_Evolution': '', 'Relevance_Model': '', 'Relevance_Other': '', 'Organism_Name': 'human gut metagenome', 'Organism_Strain': '', 'Organism_Label': '', 'Sequencing_Status': 'SRA/Trace', 'Submitter_Organization': 'Institute of Microbial Technology', 'Submitter_Organization_List': ['Institute of Microbial Technology'], 'Supergroup': 'Other'}, attributes={'uid': '531203'})], 'DbBuild': 'Build240919-1455.1'}, attributes={'status': 'OK'})}",Other
SRR12875509,Hungary,Europe,ILLUMINA,Illumina NovaSeq 6000,PRJNA668745,300.0,7572.0,2017-10-01,"{'DocumentSummarySet': DictElement({'DocumentSummary': [DictElement({'TaxId': '408170', 'Project_Id': '668745', 'Project_Acc': 'PRJNA668745', 'Project_Type': 'Primary submission', 'Project_Data_Type': 'Metagenome', 'Sort_By_ProjectType': '339606', 'Sort_By_DataType': '325164', 'Sort_By_Organism': '269829', 'Project_Subtype': '', 'Project_Target_Scope': 'Environment', 'Project_Target_Material': 'Genome', 'Project_Target_Capture': 'Whole', 'Project_MethodType': 'Sequencing', 'Project_Method': '', 'Project_Objectives_List': [{'Project_ObjectivesType': 'Sequence', 'Project_Objectives': ''}], 'Registration_Date': '2020/10/12 00:00', 'Project_Name': 'human gut metagenome', 'Project_Title': 'Gut microbiome is associated with exercise tolerance of resected early-stage lung cancer patients', 'Project_Description': 'Evaluation of the associations between gut microbiota and outcomes in lung cancer patients who underwent lung resection surgery', 'Keyword': '', 'Relevance_Agricultural': '', 'Relevance_Medical': '', 'Relevance_Industrial': '', 'Relevance_Environmental': '', 'Relevance_Evolution': '', 'Relevance_Model': '', 'Relevance_Other': '', 'Organism_Name': 'human gut metagenome', 'Organism_Strain': '', 'Organism_Label': '', 'Sequencing_Status': 'SRA/Trace', 'Submitter_Organization': 'Leibniz Institute for Natural Product Research and Infection Biology - Hans Knoll Institute', 'Submitter_Organization_List': ['Leibniz Institute for Natural Product Research and Infection Biology - Hans Knoll Institute'], 'Supergroup': 'Other'}, attributes={'uid': '668745'})], 'DbBuild': 'Build240919-1455.1'}, attributes={'status': 'OK'})}",Cancer
