"","Predictor","Response","Income Group","Model","Estimate","Q2.5","Q97.5","exp(Estimate)","exp(Q2.5)","exp(Q97.5)","Significant"
"1","Intercept","Shannon","HIC","Reference",1.907,1.875,1.939,6.735,6.523,6.95,"*"
"2","Intercept","Shannon","HIC","+(1|bioproject)",1.905,1.749,2.052,6.72,5.749,7.787,"*"
"3","Intercept","Shannon","HIC","+log(readcount)",1.741,1.698,1.784,5.702,5.462,5.956,"*"
"4","Intercept","Shannon","HIC","+(1|bioproject)+log(readcount)",1.633,1.479,1.78,5.118,4.387,5.931,"*"
"5","Intercept","Shannon","LMIC","Reference",2.459,2.325,2.592,11.697,10.226,13.357,"*"
"6","Intercept","Shannon","LMIC","+(1|bioproject)",2.286,1.651,2.678,9.835,5.211,14.561,"*"
"7","Intercept","Shannon","LMIC","+log(readcount)",2.221,2.007,2.435,9.215,7.445,11.412,"*"
"8","Intercept","Shannon","LMIC","+(1|bioproject)+log(readcount)",1.883,1.183,2.376,6.574,3.264,10.762,"*"
"9","Intercept","ARG load","HIC","Reference",6.097,6.049,6.144,444.548,423.824,465.972,"*"
"10","Intercept","ARG load","HIC","+(1|bioproject)",5.942,5.665,6.203,380.688,288.672,494.284,"*"
"11","Intercept","ARG load","HIC","+log(readcount)",6.026,5.96,6.093,413.984,387.624,442.675,"*"
"12","Intercept","ARG load","HIC","+(1|bioproject)+log(readcount)",5.873,5.593,6.138,355.345,268.668,462.934,"*"
"13","Intercept","ARG load","LMIC","Reference",6.388,6.19,6.589,594.59,487.746,727.306,"*"
"14","Intercept","ARG load","LMIC","+(1|bioproject)",5.074,2.384,6.64,159.889,10.85,765.174,"*"
"15","Intercept","ARG load","LMIC","+log(readcount)",6.784,6.456,7.104,883.928,636.547,1216.387,"*"
"16","Intercept","ARG load","LMIC","+(1|bioproject)+log(readcount)",5.482,2.588,7.188,240.266,13.301,1323.619,"*"
"17","Woman","Shannon","HIC","Reference",0.057,0.032,0.082,1.059,1.033,1.085,"*"
"18","Woman","Shannon","HIC","+(1|bioproject)",0.048,0.025,0.07,1.049,1.025,1.073,"*"
