"","Predictor","Estimate","Q2.5","Q97.5","exp(Estimate)","exp(Q2.5)","exp(Q97.5)","Response","Income Group"
"1","Intercept",4.624,4.159,5.083,101.949,64.005,161.308,"Tetracycline","LMIC"
"2","Woman",0.075,-0.13,0.282,1.077,0.878,1.326,"Tetracycline","LMIC"
"3","Europe",-0.22,-0.749,0.307,0.802,0.473,1.359,"Tetracycline","LMIC"
"4","South America",0.029,-0.392,0.428,1.029,0.676,1.535,"Tetracycline","LMIC"
"5","Infant",-2.145,-3.162,-1.089,0.117,0.042,0.337,"Tetracycline","LMIC"
"6","Toddler",0.358,-0.482,1.212,1.43,0.617,3.359,"Tetracycline","LMIC"
"7","Children",-0.338,-0.907,0.232,0.714,0.404,1.262,"Tetracycline","LMIC"
"8","Teenager",-0.097,-0.456,0.263,0.907,0.634,1.3,"Tetracycline","LMIC"
"9","Young Adult",-0.112,-0.421,0.193,0.894,0.656,1.213,"Tetracycline","LMIC"
"10","Older Adult",0.371,-0.083,0.819,1.45,0.92,2.267,"Tetracycline","LMIC"
"11","Oldest Adult",0.445,-0.47,1.334,1.561,0.625,3.795,"Tetracycline","LMIC"
"12","High Antibiotic Use",-0.673,-1.069,-0.261,0.51,0.343,0.77,"Tetracycline","LMIC"
"13","Intercept",3.75,3.598,3.904,42.54,36.536,49.624,"Tetracycline","HIC"
"14","Woman",0.312,0.185,0.437,1.366,1.203,1.548,"Tetracycline","HIC"
"15","Asia",0.901,-0.18,1.997,2.461,0.835,7.366,"Tetracycline","HIC"
"16","North America",-1.072,-1.25,-0.897,0.342,0.287,0.408,"Tetracycline","HIC"
"17","Oceania",0.386,0.089,0.674,1.47,1.093,1.963,"Tetracycline","HIC"
"18","Infant",-2.792,-3.07,-2.515,0.061,0.046,0.081,"Tetracycline","HIC"
"19","Toddler",-0.355,-0.704,0.002,0.701,0.495,1.002,"Tetracycline","HIC"
"20","Children",-0.728,-0.932,-0.516,0.483,0.394,0.597,"Tetracycline","HIC"
"21","Teenager",-1.515,-1.746,-1.274,0.22,0.174,0.28,"Tetracycline","HIC"
"22","Young Adult",0.191,0.019,0.363,1.211,1.02,1.438,"Tetracycline","HIC"
"23","Older Adult",0.081,-0.172,0.338,1.084,0.842,1.401,"Tetracycline","HIC"
"24","Oldest Adult",0.381,-0.111,0.878,1.464,0.895,2.406,"Tetracycline","HIC"
"25","High Antibiotic Use",0.327,0.148,0.5,1.387,1.16,1.648,"Tetracycline","HIC"
"26","Intercept",3.868,3.206,4.536,47.83,24.676,93.299,"Beta-lactam","LMIC"
"27","Woman",-0.017,-0.351,0.312,0.983,0.704,1.366,"Beta-lactam","LMIC"
"28","Europe",1.182,0.366,1.974,3.26,1.442,7.2,"Beta-lactam","LMIC"
"29","South America",-4.364,-4.986,-3.728,0.013,0.007,0.024,"Beta-lactam","LMIC"
"30","Infant",-0.377,-1.807,0.994,0.686,0.164,2.703,"Beta-lactam","LMIC"
"31","Toddler",0.246,-0.981,1.449,1.28,0.375,4.258,"Beta-lactam","LMIC"
"32","Children",0.339,-0.507,1.186,1.404,0.603,3.273,"Beta-lactam","LMIC"
"33","Teenager",-0.241,-0.836,0.331,0.786,0.433,1.393,"Beta-lactam","LMIC"
