Country,World Bank Income Group,Region,Koppen Climate Classification of Capital City,Usage,Corruption & Governance Index,Health Spend Index,Education Index,Infrastructure Index,GDP per head,Climate Index,META-DATA E.coli per cent resistance 3rd gen ceph*,META-DATA E.coli per cent resistance FQs*,Average Ecoli Resistance to 3GCeph & FQ unstandardized,Average All Resistance Unstandardized,Logit of META-DATA E.coli per cent resistance 3rd gen ceph*,Logit of META-DATA E.coli per cent resistance FQs*,Logit of Average Ecoli Resistance unstandardized,Logit of Average All Resistance Unstandardized,Missing Usage,Missing: Data Not in ECDC database,Missing META-DATA E.coli 3rd gen ceph*,Missing META-DATA E.coli FQs*,
Algeria,Upper middle income,Middle East & North Africa,Steppe (semi-arid),15.4,-0.80,0.40,-0.77,-0.18,-0.51,-0.36,17.0,2.0,9.50,24.69,-1.59,-3.89,-2.25,-1.11,0,1,0,0,
Argentina,Upper middle income,Latin America & Caribbean,"Mild temperate, fully humid",6.2,-0.45,-0.53,0.59,0.71,-0.24,-0.52,5.1,7.8,6.45,27.53,-2.92,-2.47,-2.67,-0.97,0,1,0,0,
Australia,High income,East Asia & Pacific,"Mild temperate, fully humid",11.0,1.54,0.81,0.63,0.90,0.99,-0.07,7.7,10.6,9.15,9.26,-2.48,-2.13,-2.30,-2.28,0,1,0,0,
Austria,High income,Europe & Central Asia,"Mild temperate, fully humid",7.2,1.40,1.40,0.61,0.65,1.01,-0.72,9.1,22.3,15.70,10.59,-2.30,-1.25,-1.68,-2.13,0,0,0,0,
Bahrain,High income,Middle East & North Africa,Desert (arid),,-0.25,-0.29,0.32,0.94,1.00,-0.03,55.0,62.0,58.50,43.40,0.20,0.49,0.34,-0.27,1,1,0,0,
Bangladesh,Lower middle income,South Asia,Tropical savannah with dry winter,4.3,-1.20,-2.55,-1.61,-1.25,-1.04,1.86,57.4,89.0,73.21,58.57,0.30,2.09,1.01,0.35,0,1,0,0,
Belgium,High income,Europe & Central Asia,"Mild temperate, fully humid",12.6,1.27,1.26,0.54,0.99,0.90,-0.70,6.0,21.5,13.75,13.81,-2.75,-1.30,-1.84,-1.83,0,0,0,0,
Bhutan,Lower middle income,South Asia,Mild temperate with dry winter,,1.00,-0.43,-1.73,-0.49,-0.81,0.22,19.4,35.5,27.46,27.92,-1.42,-0.60,-0.97,-0.95,1,1,0,0,
Bosnia and Herzegovina,Upper middle income,Europe & Central Asia,"Mild temperate, fully humid",7.5,-0.37,0.92,0.60,0.19,-0.69,-0.53,1.5,7.8,4.64,11.33,-4.20,-2.47,-3.02,-2.06,0,1,0,0,
Brazil,Upper middle income,Latin America & Caribbean,Tropical savannah with dry winter,5.9,-0.35,-0.04,0.20,0.44,-0.47,1.14,30.0,40.0,35.00,38.89,-0.85,-0.41,-0.62,-0.45,0,1,0,0,
Brunei Darussalam,High income,East Asia & Pacific,Tropical rain forest,,0.72,-0.38,0.44,0.65,2.50,2.04,6.5,12.0,9.23,6.38,-2.67,-1.99,-2.29,-2.69,1,1,0,0,
Bulgaria,Upper middle income,Europe & Central Asia,"Mild temperate, fully humid",9.4,-0.25,0.28,0.61,0.37,-0.35,-0.82,22.9,30.2,26.55,32.07,-1.21,-0.84,-1.02,-0.75,0,0,0,0,
Burkina Faso,Low income,Sub-Saharan Africa,Tropical savannah with dry winter,,-0.61,-0.59,-3.89,-2.17,-1.12,0.57,36.0,52.8,44.40,49.50,-0.58,0.11,-0.22,-0.02,1,1,0,0,
Burundi,Low income,Sub-Saharan Africa,Tropical savannah with dry winter,,-1.58,0.02,-1.25,-2.35,-1.17,0.38,7.2,16.0,11.60,23.05,-2.56,-1.66,-2.03,-1.21,1,1,0,0,
